user_500,user_501,user_502,user_600,user_700,user_800,user_801,user_20,user_21,user_22
0,5,3,0,0,4,6,3,9,0
0,2,0,0,1,0,6,4,9,0
0,1,5,0,0,3,5,6,8,0
0,4,5,0,1,0,7,4,6,0
2,2,1,0,0,2,8,0,7,0
0,0,0,5,0,4,7,5,6,0
0,3,1,0,0,2,8,3,3,0
0,1,1,2,0,2,6,2,0,0
0,0,0,3,0,0,8,2,0,0
1,0,3,1,0,0,7,4,3,0
